ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
7521000,HS314001,05/16/2010 03:00:00 PM,046XX N MALDEN ST,1365,CRIMINAL TRESPASS,TO RESIDENCE,RESIDENCE,false,false,2311,019,46,3,26,1166677,1931006,2010,02/04/2016 06:33:39 AM,41.966251399,-87.662539766,"(41.966251399, -87.662539766)"
7521001,HS324491,05/24/2010 05:18:00 PM,001XX W GERMANIA PL,0890,THEFT,FROM BUILDING,SIDEWALK,false,false,1821,018,42,8,06,1175184,1910712,2010,02/04/2016 06:33:39 AM,41.910377001,-87.631871862,"(41.910377001, -87.631871862)"
7521002,HS324336,05/24/2010 05:00:00 PM,029XX W 47TH ST,0810,THEFT,OVER $500,SIDEWALK,false,false,0912,009,14,58,06,1157378,1873343,2010,02/04/2016 06:33:39 AM,41.808213445,-87.698299587,"(41.808213445, -87.698299587)"
7521003,HS324254,05/24/2010 05:30:00 PM,024XX W 47TH ST,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,true,false,0914,009,12,58,18,1160992,1873448,2010,02/04/2016 06:33:39 AM,41.808427535,-87.685041334,"(41.808427535, -87.685041334)"
7521004,HS324478,05/24/2010 07:15:00 PM,013XX N SEDGWICK ST,0560,ASSAULT,SIMPLE,SIDEWALK,false,false,1821,018,27,8,08A,1173416,1908947,2010,02/04/2016 06:33:39 AM,41.905573245,-87.638419281,"(41.905573245, -87.638419281)"
7521005,HS324441,05/24/2010 06:24:00 PM,053XX S MAPLEWOOD AVE,1345,CRIMINAL DAMAGE,TO CITY OF CHICAGO PROPERTY,STREET,true,false,0911,009,14,63,14,1160275,1869233,2010,02/04/2016 06:33:39 AM,41.796875846,-87.687787248,"(41.796875846, -87.687787248)"
7521006,HS324224,05/24/2010 04:00:00 PM,080XX S STATE ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,true,true,0623,006,6,44,08B,1177687,1851775,2010,02/04/2016 06:33:39 AM,41.748592671,-87.624463454,"(41.748592671, -87.624463454)"
7521007,HS324496,05/24/2010 07:15:00 PM,050XX W MONROE ST,2092,NARCOTICS,SOLICIT NARCOTICS ON PUBLICWAY,SIDEWALK,true,false,1533,015,28,25,26,1142982,1899196,2010,02/04/2016 06:33:39 AM,41.879437486,-87.750457836,"(41.879437486, -87.750457836)"
7521008,HS324480,05/24/2010 07:28:00 PM,007XX S CICERO AVE,2027,NARCOTICS,POSS: CRACK,"SCHOOL, PUBLIC, GROUNDS",true,false,1533,015,24,25,18,1144505,1896498,2010,02/04/2016 06:33:39 AM,41.872005323,-87.744933466,"(41.872005323, -87.744933466)"
7521010,HS324385,05/24/2010 02:45:00 PM,033XX S KEDZIE AVE,501A,OTHER OFFENSE,ANIMAL ABUSE/NEGLECT,"SCHOOL, PRIVATE, GROUNDS",true,false,1032,010,22,30,26,1155572,1882206,2010,02/04/2016 06:33:39 AM,41.832571089,-87.704685773,"(41.832571089, -87.704685773)"
7521011,HS324364,05/23/2010 08:00:00 PM,027XX S LAWNDALE AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,false,true,1032,010,22,30,08B,1152149,1885488,2010,02/04/2016 06:33:39 AM,41.841645368,-87.717159008,"(41.841645368, -87.717159008)"
7521012,HS324368,05/24/2010 03:00:00 PM,025XX S KOSTNER AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,1013,010,22,30,14,1147473,1886538,2010,02/04/2016 06:33:39 AM,41.844617482,-87.734291716,"(41.844617482, -87.734291716)"
7521013,HS324448,05/24/2010 06:30:00 PM,103XX S HALSTED ST,4387,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,STREET,false,true,2232,022,34,73,26,1172807,1836186,2010,02/04/2016 06:33:39 AM,41.705923218,-87.642803697,"(41.705923218, -87.642803697)"
7521014,HS324426,05/24/2010 06:15:00 PM,036XX S WALLACE ST,502P,OTHER OFFENSE,FALSE/STOLEN/ALTERED TRP,STREET,true,false,0925,009,11,60,26,1172896,1880712,2010,02/04/2016 06:33:39 AM,41.828105936,-87.641165664,"(41.828105936, -87.641165664)"
7521015,HS324452,05/24/2010 06:36:00 PM,010XX W WINONA ST,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,true,false,2024,020,46,3,18,1168516,1934307,2010,02/04/2016 06:33:39 AM,41.975269736,-87.655682119,"(41.975269736, -87.655682119)"
7521016,HS324467,05/24/2010 06:33:00 PM,026XX S HARDING AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,true,false,1031,010,22,30,18,1150469,1886113,2010,02/04/2016 06:33:39 AM,41.843393357,-87.723307828,"(41.843393357, -87.723307828)"
7521017,HS324465,05/24/2010 06:43:00 PM,036XX N HALSTED ST,0860,THEFT,RETAIL THEFT,GROCERY FOOD STORE,true,false,2324,019,44,6,06,1170274,1924378,2010,02/04/2016 06:33:39 AM,41.947985911,-87.649508778,"(41.947985911, -87.649508778)"
7521018,HS324357,05/24/2010 06:02:00 PM,004XX W 69TH ST,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,true,false,0732,007,6,68,18,1174582,1859180,2010,02/04/2016 06:33:39 AM,41.768982514,-87.635621154,"(41.768982514, -87.635621154)"
7521019,HS324460,05/24/2010 06:40:00 PM,005XX S COLUMBUS DR,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,PARK PROPERTY,true,false,0124,001,42,32,18,1178360,1898011,2010,02/04/2016 06:33:39 AM,41.875452995,-87.620592186,"(41.875452995, -87.620592186)"
7521020,HS324515,05/24/2010 07:15:00 PM,035XX S WABASH AVE,0460,BATTERY,SIMPLE,STREET,false,false,0211,002,3,35,08B,1177303,1881681,2010,02/04/2016 06:33:39 AM,41.830666377,-87.624967649,"(41.830666377, -87.624967649)"
7521021,HS324453,05/24/2010 04:45:00 PM,0000X N LAKE SHORE DR SB,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,PARK PROPERTY,true,false,0124,001,42,32,18,1179301,1900602,2010,02/04/2016 06:33:39 AM,41.882541338,-87.617057849,"(41.882541338, -87.617057849)"
7521022,HS324466,05/24/2010 06:50:00 PM,095XX S STONY ISLAND AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,true,false,0511,005,8,50,18,1188502,1842115,2010,02/04/2016 06:33:39 AM,41.721833322,-87.585141658,"(41.721833322, -87.585141658)"
7521023,HS324165,05/21/2010 02:00:00 PM,069XX S JEFFERY BLVD,1152,DECEPTIVE PRACTICE,ILLEGAL USE CASH CARD,APARTMENT,false,false,0331,003,5,43,11,1190743,1859341,2010,02/04/2016 06:33:39 AM,41.769049288,-87.576378338,"(41.769049288, -87.576378338)"
7521024,HS324526,05/24/2010 03:30:00 PM,025XX S DR MARTIN LUTHER KING JR DR,0810,THEFT,OVER $500,STREET,false,false,2112,001,2,33,06,1179230,1887778,2010,02/04/2016 06:33:39 AM,41.847353158,-87.617711094,"(41.847353158, -87.617711094)"
7521025,HS324394,05/24/2010 02:00:00 PM,022XX S INDIANA AVE,0820,THEFT,$500 AND UNDER,STREET,false,false,0134,001,2,33,06,1177976,1889507,2010,02/04/2016 06:33:39 AM,41.852126235,-87.622260681,"(41.852126235, -87.622260681)"
7521026,HS323868,05/18/2010 03:00:00 PM,008XX S PAULINA ST,0810,THEFT,OVER $500,OTHER,false,false,1224,012,2,28,06,1165180,1896388,2010,02/04/2016 06:33:39 AM,41.871289484,-87.669029922,"(41.871289484, -87.669029922)"
7521027,HS324463,05/24/2010 07:00:00 PM,014XX W CORNELIA AVE,0810,THEFT,OVER $500,RESIDENCE PORCH/HALLWAY,false,false,1924,019,44,6,06,1166148,1923341,2010,02/04/2016 06:33:39 AM,41.945229664,-87.664704687,"(41.945229664, -87.664704687)"
7521029,HS323909,05/17/2010 12:00:00 PM,048XX S PRINCETON AVE,0810,THEFT,OVER $500,RESIDENCE,false,true,0935,009,3,37,06,1175102,1872975,2010,02/04/2016 06:33:39 AM,41.80682585,-87.633303386,"(41.80682585, -87.633303386)"
7521030,HS324216,05/24/2010 03:45:00 PM,0000X E 21ST ST,0820,THEFT,$500 AND UNDER,CTA BUS,false,false,0134,001,2,33,06,1177400,1890286,2010,02/04/2016 06:33:39 AM,41.854276934,-87.62435113,"(41.854276934, -87.62435113)"
7521031,HS324054,05/21/2010 11:30:00 AM,102XX S GREEN ST,1152,DECEPTIVE PRACTICE,ILLEGAL USE CASH CARD,RESIDENCE,false,false,2232,022,34,73,11,1172456,1836957,2010,02/04/2016 06:33:39 AM,41.708046674,-87.644066434,"(41.708046674, -87.644066434)"
